TEAMNAME,NAME,DEBUTDATE 
Australia,NM Coulter-Nile,England v Australia at Cardiff, 2013
Australia,SA Abbott,Australia v Pakistan at Sharjah, 2014/15
Australia,GS Sandhu,Australia v India at Melbourne, 2014/15
Australia,JA Burns,Ireland v Australia at Belfast, 2015
Australia,AC Agar,England v Australia at Manchester, 2015
Australia,MP Stoinis,England v Australia at Leeds, 2015
Australia,SM Boland,Australia v India at Perth, 2015/16
Australia,JS Paris,Australia v India at Perth, 2015/16
Australia,A Zampa,New Zealand v Australia at Wellington, 2015/16
Australia,TM Head,West Indies v Australia at Basseterre, 2016
Australia,DJ Worrall,Australia v Ireland at Benoni, 2016/17
Australia,JM Mennie,South Africa v Australia at Johannesburg, 2016/17
Australia,CP Tremain,South Africa v Australia at Johannesburg, 2016/17
Australia,CA Lynn,Australia v Pakistan at Brisbane, 2016/17
Australia,B Stanlake,Australia v Pakistan at Brisbane, 2016/17
Australia,PSP Handscomb,Australia v Pakistan at Perth, 2016/17
Australia,SD Heazlett,New Zealand v Australia at Auckland, 2016/17
Australia,HWR Cartwright,India v Australia at Chennai, 2017/18
Australia,AJ Tye,Australia v England at Melbourne, 2017/18
Australia,AT Carey,Australia v England at Brisbane, 2017/18
Australia,JA Richardson,Australia v England at Brisbane, 2017/18
Australia,MG Neser,England v Australia at The Oval, 2018
Australia,DJM Short,England v Australia at Cardiff, 2018
Australia,JP Behrendorff,Australia v India at Sydney, 2018/19
Australia,AJ Turner,India v Australia at Hyderabad (Deccan), 2018/19
