TEAMNAME,NAME,DEBUTDATE 
West Indies,SW Ambris,England v West Indies at Southampton, 2017
West Indies,RR Beaton,New Zealand v West Indies at Whangarei, 2017/18
West Indies,SO Hetmyer,New Zealand v West Indies at Whangarei, 2017/18
West Indies,KMA Paul,Afghanistan v West Indies at Harare, 2017/18
West Indies,C Hemraj,India v West Indies at Guwahati, 2018/19
West Indies,O Thomas,India v West Indies at Guwahati, 2018/19
West Indies,OC McCoy,India v West Indies at Visakhapatnam, 2018/19
West Indies,FA Allen,India v West Indies at Pune, 2018/19
West Indies,JD Campbell,West Indies v England at Bridgetown, 2018/19
West Indies,N Pooran,West Indies v England at Bridgetown, 2018/19
West Indies,SO Dowrich,Bangladesh v West Indies at Dublin, 2019
West Indies,RA Reifer,Bangladesh v West Indies at Dublin (Malahide), 2019
