TEAMNAME,NAME,DEBUTDATE 
Pakistan,Mohammad Talha,India v Pakistan at Dhaka, 2013/14
Pakistan,Zulfiqar Babar,Australia v Pakistan at Sharjah, 2014/15
Pakistan,Raza Hasan,Australia v Pakistan at Dubai (DSC), 2014/15
Pakistan,Mohammad Rizwan,Bangladesh v Pakistan at Dhaka, 2015
Pakistan,Saad Nasim,Bangladesh v Pakistan at Dhaka, 2015
Pakistan,Sami Aslam,Bangladesh v Pakistan at Dhaka, 2015
Pakistan,Babar Azam,Pakistan v Zimbabwe at Lahore, 2015
Pakistan,Imad Wasim,Sri Lanka v Pakistan at Colombo (RPS), 2015
Pakistan,Aamer Yamin,Zimbabwe v Pakistan at Harare, 2015/16
Pakistan,Bilal Asif,Zimbabwe v Pakistan at Harare, 2015/16
Pakistan,Iftikhar Ahmed,England v Pakistan at Abu Dhabi, 2015/16
Pakistan,Zafar Gohar,England v Pakistan at Sharjah, 2015/16
Pakistan,Hasan Ali,Ireland v Pakistan at Dublin (Malahide), 2016
Pakistan,Mohammad Nawaz (3),Ireland v Pakistan at Dublin (Malahide), 2016
Pakistan,Shadab Khan,West Indies v Pakistan at Providence, 2017
Pakistan,Fakhar Zaman,Pakistan v South Africa at Birmingham, 2017
Pakistan,Faheem Ashraf,Pakistan v Sri Lanka at Cardiff, 2017
Pakistan,Rumman Raees,England v Pakistan at Cardiff, 2017
Pakistan,Imam-ul-Haq,Pakistan v Sri Lanka at Abu Dhabi, 2017/18
Pakistan,Usman Shinwari,Pakistan v Sri Lanka at Sharjah, 2017/18
Pakistan,Asif Ali,Zimbabwe v Pakistan at Bulawayo, 2018
Pakistan,Shaheen Shah Afridi,Afghanistan v Pakistan at Abu Dhabi, 2018
Pakistan,Hussain Talat,South Africa v Pakistan at Durban, 2018/19
Pakistan,Mohammad Abbas,Australia v Pakistan at Sharjah, 2018/19
Pakistan,Shan Masood,Australia v Pakistan at Sharjah, 2018/19
Pakistan,Mohammad Hasnain,Australia v Pakistan at Sharjah, 2018/19
Pakistan,Abid Ali,Australia v Pakistan at Dubai (DSC), 2018/19
Pakistan,Saad Ali,Australia v Pakistan at Dubai (DSC), 2018/19
